"frame_idx ""video"" ""phase"" ""fly"" ""x"" ""y"" ""fly_prev"" ""x_prev"" ""y_prev"" ""dist"" ""mutilple_matches"" ""different_match"""
"32789 ""TC_Grp_3_f_18"" 19 ""0"" 326 9 ""1"" 324 9 2 0 1"
"32798 ""TC_Grp_3_f_18"" 19 ""0"" 725 91 ""2"" 330 35 398.949871537766 0 1"
"32800 ""TC_Grp_3_f_18"" 19 ""0"" 314 42 ""2"" 320 42 6 0 1"
"32807 ""TC_Grp_3_f_18"" 19 ""0"" 266 28 ""1"" 258 25 8.54400374531753 0 1"
"32829 ""TC_Grp_3_f_18"" 19 ""0"" 60 39 ""1"" 6 109 88.4081444212014 0 1"
"32846 ""TC_Grp_3_f_18"" 19 ""0"" 259 6 ""2"" 254 6 5 0 1"
"32851 ""TC_Grp_3_f_18"" 19 ""0"" 287 8 ""1"" 271 9 16.0312195418814 0 1"
"32864 ""TC_Grp_3_f_18"" 19 ""0"" 278 117 ""2"" 332 91 59.9332962550868 0 1"
"32873 ""TC_Grp_3_f_18"" 19 ""0"" 443 11 ""1"" 291 128 191.815015053567 0 1"
"32885 ""TC_Grp_3_f_18"" 19 ""0"" 304 140 ""1"" 301 123 17.2626765016321 0 1"
"32923 ""TC_Grp_3_f_18"" 19 ""0"" 324 201 ""2"" 330 209 10 0 1"
"33039 ""TC_Grp_3_f_18"" 19 ""0"" 397 143 ""2"" 384 143 13 0 1"
"33041 ""TC_Grp_3_f_18"" 19 ""0"" 400 142 ""2"" 412 147 13 0 1"
"33074 ""TC_Grp_3_f_18"" 19 ""0"" 41 71 ""1"" 25 69 16.1245154965971 0 1"
"33106 ""TC_Grp_3_f_18"" 19 ""0"" 378 83 ""2"" 391 87 13.6014705087354 0 1"
"33159 ""TC_Grp_3_f_18"" 19 ""0"" 489 189 ""2"" 365 214 126.495059192049 0 1"
"33163 ""TC_Grp_3_f_18"" 19 ""0"" 86 17 ""1"" 78 24 10.6301458127346 0 1"
"33227 ""TC_Grp_3_f_18"" 19 ""0"" 200 51 ""2"" 196 45 7.21110255092798 0 1"
"33252 ""TC_Grp_3_f_18"" 19 ""0"" 205 57 ""1"" 205 57 0 0 1"
"33263 ""TC_Grp_3_f_18"" 19 ""0"" 201 51 ""2"" 196 45 7.81024967590665 1 1"
"33291 ""TC_Grp_3_f_18"" 19 ""0"" 212 60 ""2"" 207 54 7.81024967590665 0 1"
"33299 ""TC_Grp_3_f_18"" 19 ""0"" 371 75 ""1"" 363 74 8.06225774829855 0 1"
"33300 ""TC_Grp_3_f_18"" 19 ""0"" 214 60 ""2"" 208 54 8.48528137423857 0 1"
"33310 ""TC_Grp_3_f_18"" 19 ""0"" 455 84 ""1"" 455 84 0 0 1"
"33323 ""TC_Grp_3_f_18"" 19 ""0"" 214 60 ""2"" 209 54 7.81024967590665 0 1"
"33329 ""TC_Grp_3_f_18"" 19 ""0"" 521 108 ""1"" 528 114 9.21954445729289 0 1"
"33568 ""TC_Grp_3_f_18"" 19 ""0"" 441 112 ""2"" 439 114 2.82842712474619 0 1"
"33618 ""TC_Grp_3_f_18"" 19 ""0"" 647 135 ""1"" 647 135 0 0 1"
"33826 ""TC_Grp_3_f_18"" 19 ""0"" 145 70 ""1"" 156 65 12.0830459735946 0 1"
"33836 ""TC_Grp_3_f_18"" 19 ""0"" 110 77 ""1"" 115 72 7.07106781186548 0 1"
"33915 ""TC_Grp_3_f_18"" 19 ""0"" 161 131 ""2"" 161 108 23 0 1"
"33929 ""TC_Grp_3_f_18"" 19 ""0"" 445 58 ""2"" 462 54 17.464249196573 0 1"
"33938 ""TC_Grp_3_f_18"" 19 ""0"" 182 194 ""1"" 62 132 135.070352039224 0 1"
"33956 ""TC_Grp_3_f_18"" 19 ""0"" 65 139 ""1"" 63 134 5.3851648071345 0 1"
"33964 ""TC_Grp_3_f_18"" 19 ""0"" 333 25 ""2"" 333 32 7 0 1"
"34076 ""TC_Grp_3_f_18"" 19 ""0"" 383 94 ""1"" 381 88 6.32455532033676 0 1"
"34080 ""TC_Grp_3_f_18"" 19 ""0"" 469 148 ""2"" 473 142 7.21110255092798 0 1"
"34095 ""TC_Grp_3_f_18"" 19 ""0"" 491 112 ""1"" 485 109 6.70820393249937 0 1"
"34160 ""TC_Grp_3_f_18"" 19 ""0"" 725 43 ""1"" 716 38 10.295630140987 0 1"
"34226 ""TC_Grp_3_f_18"" 19 ""0"" 716 110 ""2"" 720 111 4.12310562561766 0 1"
"34241 ""TC_Grp_3_f_18"" 19 ""0"" 724 130 ""1"" 703 141 23.7065391822594 0 1"
"34247 ""TC_Grp_3_f_18"" 19 ""0"" 642 204 ""2"" 648 182 22.8035085019828 0 1"
"34351 ""TC_Grp_3_f_18"" 20 ""0"" 72 132 ""2"" 75 129 4.24264068711928 0 1"
"34353 ""TC_Grp_3_f_18"" 20 ""0"" 65 142 ""2"" 69 140 4.47213595499958 0 1"
"34362 ""TC_Grp_3_f_18"" 20 ""0"" 461 105 ""1"" 464 77 28.1602556806574 0 1"
"34367 ""TC_Grp_3_f_18"" 20 ""0"" 440 136 ""1"" 449 118 20.1246117974981 0 1"
"34490 ""TC_Grp_3_f_18"" 20 ""0"" 624 43 ""1"" 630 45 6.32455532033676 0 1"
"34502 ""TC_Grp_3_f_18"" 20 ""0"" 254 204 ""2"" 355 55 180.005555469824 0 1"
"34565 ""TC_Grp_3_f_18"" 20 ""0"" 425 58 ""2"" 426 38 20.0249843945008 0 1"
"34721 ""TC_Grp_3_f_18"" 20 ""0"" 589 103 ""2"" 587 116 13.1529464379659 0 1"
"34787 ""TC_Grp_3_f_18"" 20 ""0"" 657 144 ""1"" 654 138 6.70820393249937 0 1"
"34805 ""TC_Grp_3_f_18"" 20 ""0"" 660 125 ""1"" 656 129 5.65685424949238 0 1"
"34814 ""TC_Grp_3_f_18"" 20 ""0"" 641 106 ""1"" 640 109 3.16227766016838 0 1"
"34996 ""TC_Grp_3_f_18"" 20 ""0"" 392 20 ""2"" 375 56 39.8120584747888 0 1"
"35303 ""TC_Grp_3_f_18"" 20 ""0"" 747 194 ""2"" 167 192 580.003448265612 0 1"
"35329 ""TC_Grp_3_f_18"" 20 ""0"" 192 148 ""1"" 191 149 1.4142135623731 0 1"
"35743 ""TC_Grp_3_f_18"" 20 ""0"" 20 63 ""2"" 31 57 12.5299640861417 0 1"
"36093 ""TC_Grp_3_f_18"" 21 ""0"" 41 58 ""2"" 50 65 11.4017542509914 1 1"
"145 ""TC_Grp_3_f_19"" 1 ""0"" 703 139 ""1"" 700 135 5 0 1"
"221 ""TC_Grp_3_f_19"" 1 ""0"" 50 180 ""2"" 45 189 10.295630140987 0 1"
"267 ""TC_Grp_3_f_19"" 1 ""0"" 98 154 ""1"" 96 160 6.32455532033676 0 1"
"280 ""TC_Grp_3_f_19"" 1 ""0"" 115 138 ""1"" 115 142 4 0 1"
"296 ""TC_Grp_3_f_19"" 1 ""0"" 131 120 ""1"" 131 125 5 0 1"
"325 ""TC_Grp_3_f_19"" 1 ""0"" 180 37 ""1"" 178 41 4.47213595499958 0 1"
"327 ""TC_Grp_3_f_19"" 1 ""0"" 171 54 ""2"" 173 54 2 0 1"
"353 ""TC_Grp_3_f_19"" 1 ""0"" 190 38 ""2"" 197 33 8.60232526704263 0 1"
"466 ""TC_Grp_3_f_19"" 1 ""0"" 351 23 ""1"" 363 13 15.6204993518133 0 1"
"578 ""TC_Grp_3_f_19"" 1 ""0"" 510 15 ""2"" 512 13 2.82842712474619 0 1"
"833 ""TC_Grp_3_f_19"" 1 ""0"" 307 225 ""2"" 299 230 9.4339811320566 0 1"
"874 ""TC_Grp_3_f_19"" 1 ""0"" 558 14 ""1"" 563 19 7.07106781186548 0 1"
"1159 ""TC_Grp_3_f_19"" 1 ""0"" 78 14 ""1"" 100 18 22.3606797749979 0 1"
"1166 ""TC_Grp_3_f_19"" 1 ""0"" 726 208 ""2"" 259 236 467.838647398865 0 1"
"1185 ""TC_Grp_3_f_19"" 1 ""0"" 270 234 ""2"" 260 237 10.4403065089106 0 1"
"1191 ""TC_Grp_3_f_19"" 1 ""0"" 254 235 ""2"" 240 241 15.2315462117278 0 1"
