"video","phase","phase_type","pole_location","safe_location","start_position","time_to_start_moving","time_in_pole_initial","time_in_safe_initial","time_in_safe_total","time_outside_safe_after_reaching","time_to_safe","start_in_pole","first_to_safe","first_to_closest","dist_to_safe","speed_to_safe","previously_safe_first","dead_fly"
"NT_OR_1",56,"trial","M","left","pole",2,3.9,53.33,53.33,0,6.67,1,0,0,6.85833117301072,0.00993001617713907,1,0
"NT_OR_1",58,"trial","M","left","pole",1.77,2.93,55.2,55.2,0,4.8,1,0,0,10.1197948756169,0.0203502953579812,0,0
"NT_OR_1",60,"trial","M","right","pole",1.43,2.37,57.6,57.6,0,2.37,1,1,1,3.47164354345352,0.0141591856957428,0,0
"NT_OR_2",2,"trial","M","left","unsafe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NT_OR_2",4,"trial","M","left","pole",3.23,3.13,1.27,54.53,0.77,4.7,1,0,1,28.1171189098641,0.0577448429102606,0,0
"NT_OR_2",6,"trial","M","left","pole",2.03,4.1,7.03,53.17,0.07,6.77,1,0,0,36.7398056850829,0.0524085707891514,0,0
"NT_OR_2",8,"trial","M","right","pole",1.2,1.33,7.03,58.3,0.37,1.33,1,1,1,11.7621692890951,0.0851508394480826,0,0
"NT_OR_2",10,"trial","M","left","pole",0.3,1.87,58.13,58.13,0,1.87,1,1,1,26.3649266142771,0.136332701052867,0,0
"NT_OR_2",12,"trial","M","left","pole",0.87,0.93,57.67,57.67,0,2.33,1,0,1,8.83407972288645,0.0365447313412291,0,0
"NT_OR_2",14,"trial","M","right","pole",1.27,2.83,57.17,57.17,0,2.83,1,1,1,11.2982805699734,0.0384906219735638,0,0
"NT_OR_2",16,"trial","M","right","pole",2.1,2.77,2.1,52.6,0.73,6.67,1,0,0,18.1466008212458,0.0262740359380972,0,0
"NT_OR_2",18,"trial","M","right","pole",1.6,2.1,53.43,53.43,0,6.57,1,0,1,11.9864026136532,0.0176191167909373,0,0
"NT_OR_2",20,"trial","M","left","pole",0.37,0.47,59.53,59.53,0,0.47,1,1,1,3.27318101248209,0.0677023099658457,0,0
"NT_OR_2",22,"trial","M","right","pole",1.33,3.6,54.3,54.3,0,5.73,1,0,0,13.1814620727246,0.0221920098647378,1,0
"NT_OR_2",24,"trial","M","right","pole",0.97,3.63,3.4,53.3,0.4,6.3,1,0,0,12.3566873649234,0.018932229216344,0,0
"NT_OR_2",26,"trial","M","right","pole",1.5,4.07,54.23,54.23,0,5.77,1,0,0,12.3618946257342,0.0206919029823479,0,0
"NT_OR_2",28,"trial","M","left","pole",0.37,1.43,55.93,55.93,0,4.07,1,0,1,15.8280670600851,0.0375689926421413,1,0
"NT_OR_2",30,"trial","M","left","pole",2.1,2.73,57.27,57.27,0,2.73,1,1,0,6.28397475444124,0.0221912659658674,1,0
"NT_OR_2",32,"trial","M","right","pole",0.6,1.67,58.37,58.37,0,1.67,1,1,0,5.2492216781483,0.0304008977498936,0,0
"NT_OR_2",34,"trial","M","left","pole",1.4,2.93,57.07,57.07,0,2.93,1,1,0,13.390965114603,0.0440646886449291,0,0
"NT_OR_2",36,"trial","M","right","pole",0.33,2.4,56,56,0,4.03,1,0,1,12.4834078399896,0.0298750945467061,1,0
