"video","phase","phase_type","pole_location","safe_location","start_position","time_to_start_moving","time_in_pole_initial","time_in_safe_initial","time_in_safe_total","time_outside_safe_after_reaching","time_to_safe","start_in_pole","first_to_safe","first_to_closest","dist_to_safe","speed_to_safe","previously_safe_first","dead_fly"
"OT_CS_8",48,"trial","M","left","pole",4.67,6.13,53.9,53.9,0,6.13,1,1,1,12.4435541349203,0.0195834010432899,0,0
"OT_CS_8",50,"trial","M","right","pole",4.37,6.13,53.9,53.9,0,6.13,1,1,1,14.7329025343926,0.0231863289004416,0,0
"OT_CS_8",52,"trial","M","left","pole",3.87,3.9,56.07,56.07,0,3.9,1,1,1,5.57837735772659,0.0138064977668711,0,0
"OT_CS_8",54,"trial","M","left","pole",4.5,4.77,53.33,53.33,0,6.67,1,0,1,7.29958688491985,0.0105688999299033,0,0
"OT_CS_8",56,"trial","M","right","pole",3.23,3.8,54,54,0,6,1,0,1,6.70794635927131,0.0107914194968972,1,0
"OT_CS_8",58,"trial","M","left","pole",4.7,6.27,51.03,51.03,0,8.97,1,0,0,18.4202318449959,0.0198291597418538,1,0
"OT_CS_8",60,"trial","M","right","pole",3.33,3.47,54.6,54.6,0,5.37,1,0,1,10.4101079153757,0.0187236646838816,1,0
"OT_CS_9",2,"trial","M","left","safe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"OT_CS_9",4,"trial","M","right","unsafe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"OT_CS_9",6,"trial","M","right","pole",2.83,2.9,28.57,55.93,1.17,2.9,1,1,1,46.7710012873333,0.155675014270181,1,0
"OT_CS_9",8,"trial","M","left","pole",3.77,6.33,49.03,49.03,0,10.97,1,0,1,25.8413906621372,0.0227447665167677,1,0
"OT_CS_9",10,"trial","M","right","pole",4.2,6.77,7,43.33,5.2,11.47,1,0,1,39.7441066504597,0.0334561371866804,1,0
"OT_CS_9",12,"trial","M","left","pole",1.07,1.4,52.93,53.63,0.27,6.1,1,0,1,20.9467641643983,0.0331457120140489,1,0
"OT_CS_9",14,"trial","M","left","pole",0.97,2.23,57.8,57.8,0,2.23,1,1,1,11.9749744548708,0.0517560700809836,1,0
"OT_CS_9",16,"trial","M","left","unsafe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"OT_CS_9",18,"trial","M","right","pole",3.33,3.53,9.03,56.47,0.03,3.53,1,1,1,8.19384463345164,0.0223842918157235,0,0
"OT_CS_9",20,"trial","M","right","pole",0.07,1.5,16.7,55.67,0.43,3.9,1,0,0,20.4239937111224,0.0505494349844628,0,0
"OT_CS_9",22,"trial","M","left","pole",3.63,4.57,27.47,50.2,5.23,4.57,1,1,1,33.0449993838475,0.0698468267561526,0,0
"OT_CS_9",24,"trial","M","left","pole",0.77,2.17,57.83,57.83,0,2.17,1,1,1,9.63089601677535,0.0429056846604188,1,0
"OT_CS_9",26,"trial","M","right","pole",3.73,5.5,52.67,52.67,0,7.33,1,0,0,14.1482403477129,0.0186226399803171,1,0
"OT_CS_9",28,"trial","M","right","pole",3.83,4,53.03,53.03,0,6.97,1,0,1,13.8356445168623,0.0191696687436898,0,0
"OT_CS_9",30,"trial","M","right","pole",3.03,5.17,6.23,42.03,11.07,6.9,1,0,1,54.1338283817625,0.0757285943452556,0,0
"OT_CS_9",32,"trial","M","left","pole",3.23,3.4,54.2,54.2,0,5.8,1,0,1,8.36141644826813,0.0139152849957864,1,0
"OT_CS_9",34,"trial","M","left","pole",2.47,3.63,56.37,56.37,0,3.63,1,1,0,11.5092037420216,0.030575972535568,1,0
"OT_CS_9",36,"trial","M","right","pole",4.63,4.2,55.9,55.9,0,4.2,1,1,1,19.7873666001584,0.0454756540728039,0,0
"OT_CS_9",38,"trial","M","right","pole",2.27,1.6,58.5,58.5,0,1.6,1,1,1,13.9466582716771,0.0841376584922608,1,0
"OT_CS_9",40,"trial","M","left","pole",0.53,0.87,4.1,50.1,9.03,0.87,1,1,1,38.0965486198604,0.42430073455443,0,0
"OT_CS_9",42,"trial","M","left","pole",2.5,3.53,4.1,51.97,4.6,3.53,1,1,1,25.8730162554892,0.0706810016449949,1,0
"OT_CS_9",44,"trial","M","left","pole",2.7,2.57,57.47,57.47,0,2.57,1,1,1,6.12509356557269,0.0230347499081358,1,0
"OT_CS_9",46,"trial","M","right","pole",2.73,2.9,23.6,48.1,0.03,11.87,1,0,1,28.6341953739794,0.0232914478010548,1,0
"OT_CS_9",48,"trial","M","left","pole",3.07,3.93,56.07,56.07,0,3.93,1,1,1,7.32882977390179,0.0179851525764883,0,0
"OT_CS_9",50,"trial","M","right","pole",3.07,3.13,53.53,53.53,0,6.47,1,0,1,13.4150234212779,0.0200240169684321,1,0
"OT_CS_9",52,"trial","M","right","pole",1,1.4,59.27,59.27,0,1.4,1,1,1,12.247807631566,0.0844443438469804,1,0
"OT_CS_9",54,"trial","M","left","pole",1.47,3.8,52.97,52.97,0,7.03,1,0,0,14.975446418274,0.0205522238535115,1,0
"OT_CS_9",56,"trial","M","left","pole",2.7,2.53,54.9,54.9,0,5.13,1,0,1,5.45949889996939,0.0102658180187962,0,0
"OT_CS_9",58,"trial","M","right","pole",1.83,1.9,21.63,51.9,4.1,4.63,1,0,1,25.7929803238985,0.0537338830669256,1,0
"OT_CS_9",60,"trial","M","right","pole",2.83,2.67,57.3,57.3,0,2.67,1,1,1,7.38703382667089,0.0267387807432585,1,0
"OT_OR_1",2,"trial","M","left","unsafe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"OT_OR_1",4,"trial","M","right","pole",0.27,0.2,59.8,59.8,0,0.2,1,1,1,5.21457537939013,0.251668695916512,0,0
"OT_OR_1",6,"trial","M","left","pole",1.47,3.3,54.93,54.93,0,5.07,1,0,1,19.5338230837207,0.0372138978682954,1,0
